apartment_number,room_number,x_center,y_center,z_center,n_windowarea,e_windowarea,s_windowarea,w_windowarea,9am_mean_fraction_body_sunlight_exposure,9am_mean_indoor_mrt,9am_working_mean_pmv,9am_cooking_mean_pmv,9am_sleeping_mean_pmv,9am_sitting_mean_pmv,12pm_mean_fraction_body_sunlight_exposure,12pm_mean_indoor_mrt,12pm_working_mean_pmv,12pm_cooking_mean_pmv,12pm_sleeping_mean_pmv,12pm_sitting_mean_pmv,3pm_mean_fraction_body_sunlight_exposure,3pm_mean_indoor_mrt,3pm_working_mean_pmv,3pm_cooking_mean_pmv,3pm_sleeping_mean_pmv,3pm_sitting_mean_pmv,6pm_mean_fraction_body_sunlight_exposure,6pm_mean_indoor_mrt,6pm_working_mean_pmv,6pm_cooking_mean_pmv,6pm_sleeping_mean_pmv,6pm_sitting_mean_pmv,9pm_mean_fraction_body_sunlight_exposure,9pm_mean_indoor_mrt,9pm_working_mean_pmv,9pm_cooking_mean_pmv,9pm_sleeping_mean_pmv,9pm_sitting_mean_pmv
61,3,-31.708038,32.376091,3,0,2.292003,0,0,0.333333,25.06738,-0.249489,0.756321,-1.753395,-0.521623,0.083333,23.088027,-0.633319,0.510322,-2.31108,-0.947761,0,22.7167,-0.733066,0.444423,-2.458635,-1.058084,0,22.45652,-0.755274,0.432198,-2.488409,-1.083159,0,22,-0.733488,0.453381,-2.448181,-1.060938
62,0,-31.708038,20.376091,3,0,0,0,0,0,22.037207,-0.65202,0.509978,-2.324905,-0.971661,0,22.052062,-0.771156,0.426319,-2.506255,-1.10197,0,22.069407,-0.81983,0.391978,-2.580525,-1.15517,0,22.04421,-0.810457,0.398858,-2.565881,-1.145002,0,22,-0.733488,0.453381,-2.448181,-1.060938
62,1,-31.708038,23.376091,3,0,0,0,0,0,22,-0.656989,0.506989,-2.331881,-0.97723,0,22,-0.778113,0.422109,-2.516023,-1.109768,0,22,-0.829112,0.386371,-2.593556,-1.165573,0,22,-0.816362,0.395305,-2.574173,-1.151622,0,22,-0.733488,0.453381,-2.448181,-1.060938
63,0,-31.708038,41.376091,3,0,0,0,0,0,22.157966,-0.635899,0.519701,-2.302271,-0.953593,0,22.221034,-0.748585,0.439897,-2.474568,-1.076675,0,22.294672,-0.789722,0.410092,-2.538254,-1.121427,0.083333,22.628409,-0.732982,0.44643,-2.455111,-1.058425,0,22,-0.733488,0.453381,-2.448181,-1.060938
63,1,-31.708038,44.376091,3,0,2.292003,0,0,0.333333,24.936255,-0.267083,0.745716,-1.777975,-0.541336,0.083333,22.90455,-0.657892,0.495507,-2.345523,-0.975298,0,22.472097,-0.765864,0.424587,-2.504759,-1.094693,0,22.300714,-0.776144,0.419571,-2.51771,-1.106547,0,22,-0.733488,0.453381,-2.448181,-1.060938
63,2,-28.708038,41.376091,3,3.5,3.5,0,0,0.444444,26.451464,-0.064854,0.868983,-1.492563,-0.315085,0.111111,23.956703,-0.516858,0.581071,-2.147241,-0.81736,0,23.630176,-0.610525,0.519135,-2.28528,-0.921264,0,23.038382,-0.677023,0.479564,-2.378533,-0.99559,0,22,-0.733488,0.453381,-2.448181,-1.060938
64,0,-34.708038,65.376091,3,0,0,0,0,0,22.434081,-0.598986,0.541885,-2.250449,-0.912222,0,22.607387,-0.696878,0.471076,-2.401978,-1.018722,0,22.80974,-0.720698,0.452018,-2.441359,-1.04407,0.027778,22.662688,-0.727978,0.448848,-2.449424,-1.052648,0,22,-0.733488,0.453381,-2.448181,-1.060938
64,1,-37.708038,65.376091,3,2.292003,0,0,3.5,0,23.115947,-0.507204,0.597528,-2.121584,-0.809454,0,23.561485,-0.568659,0.549179,-2.220974,-0.875612,0.111111,24.708991,-0.467081,0.607052,-2.081663,-0.760929,0.611111,26.557864,-0.211709,0.766543,-1.711376,-0.476,0,22,-0.733488,0.453381,-2.448181,-1.060938
64,2,-34.708038,68.376091,3,3.5,0,0,3.5,0,23.34598,-0.476203,0.616335,-2.078025,-0.774875,0,23.883357,-0.525508,0.57556,-2.159742,-0.82759,0.111111,25.138097,-0.410054,0.642254,-1.999638,-0.697338,0.583333,26.68429,-0.194648,0.776718,-1.687995,-0.456938,0,22,-0.733488,0.453381,-2.448181,-1.060938
65,0,-31.708038,26.376091,3,0,0,0,0,0,22.208747,-0.629122,0.523754,-2.292757,-0.945998,0,22.292089,-0.739099,0.445604,-2.46125,-1.066042,0,22.3894,-0.777069,0.417704,-2.520491,-1.107245,0.055556,22.541845,-0.744337,0.439273,-2.471699,-1.071065,0,22,-0.733488,0.453381,-2.448181,-1.060938
65,1,-31.708038,29.376091,3,0,2.292003,0,0,0.333333,25.049303,-0.251898,0.754895,-1.756778,-0.524323,0.083333,23.062732,-0.636691,0.508294,-2.315823,-0.951542,0,22.682978,-0.737584,0.441722,-2.464937,-1.063148,0,22.43504,-0.758135,0.430477,-2.492426,-1.086366,0,22,-0.733488,0.453381,-2.448181,-1.060938
65,2,-28.708038,26.376091,3,3.5,3.5,0,0,0.444444,26.481064,-0.060949,0.871322,-1.487005,-0.310707,0.111111,23.99812,-0.511334,0.584495,-2.139374,-0.811176,0,23.685392,-0.602825,0.523545,-2.275089,-0.912638,0,23.073552,-0.672363,0.482406,-2.37201,-0.990258,0,22,-0.733488,0.453381,-2.448181,-1.060938
66,0,-31.708038,59.376091,3,0,0,0,0,0,22.041408,-0.651458,0.510316,-2.324116,-0.971031,0,22.05794,-0.770367,0.426793,-2.505149,-1.101087,0,22.077242,-0.818777,0.392612,-2.579047,-1.15399,0,22.049201,-0.809788,0.399261,-2.564943,-1.144253,0,22,-0.733488,0.453381,-2.448181,-1.060938
